22,6B,slanted_180,135,180,6631,600,1700,6.5,28,18.0,17.15,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
23,6B,slanted_180,135,180,6631,600,1825,6.5,24,18.0,17.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
24,6B,slanted_180,135,180,6631,600,1950,6.5,21,18.0,16.9,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
25,6B,slanted_180,135,180,6631,600,2275,6.5,15,18.0,16.5,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
26,6B,slanted_180,135,180,6631,600,2600,6.5,12,18.0,16.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 slanted_180 (phi=135); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
27,4B5B,side_180,90,180,6631,600,650,6.5,235,18.0,16.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
28,4B5B,side_180,90,180,6631,600,800,6.5,155,18.0,16.15,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
29,4B5B,side_180,90,180,6631,600,920,6.5,115,18.0,16.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
30,4B5B,side_180,90,180,6631,600,1050,6.5,85,18.0,16.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
31,4B5B,side_180,90,180,6631,600,1175,6.5,62,18.0,16.25,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
32,4B5B,side_180,90,180,6631,600,1300,6.5,48,18.0,16.25,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
33,4B5B,side_180,90,180,6631,600,1425,6.5,40,18.0,16.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
34,4B5B,side_180,90,180,6631,600,1550,6.5,33,18.0,16.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
35,4B5B,side_180,90,180,6631,600,1700,6.5,28,18.0,16.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
36,4B5B,side_180,90,180,6631,600,1825,6.5,24,18.0,16.35,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
37,4B5B,side_180,90,180,6631,600,1950,6.5,21,18.0,16.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
38,4B5B,side_180,90,180,6631,600,2275,6.5,15,18.0,16.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
39,4B5B,side_180,90,180,6631,600,2600,6.5,12,18.0,16.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 side_180 (phi=90); Nu per-config from Fig17; Ri from Fig18 cluster (lower/slanted/side coincident, +-18%)"
40,3B,upper_180,0,180,6631,600,650,6.5,125,18.0,12.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
41,3B,upper_180,0,180,6631,600,800,6.5,80,18.0,13.15,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
42,3B,upper_180,0,180,6631,600,920,6.5,58,18.0,13.75,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
43,3B,upper_180,0,180,6631,600,1050,6.5,42,18.0,14.4,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
44,3B,upper_180,0,180,6631,600,1175,6.5,31,18.0,14.7,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
45,3B,upper_180,0,180,6631,600,1300,6.5,25,18.0,15.05,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
46,3B,upper_180,0,180,6631,600,1425,6.5,21,18.0,15.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
47,3B,upper_180,0,180,6631,600,1550,6.5,17,18.0,15.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
48,3B,upper_180,0,180,6631,600,1700,6.5,14,18.0,15.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
49,3B,upper_180,0,180,6631,600,1825,6.5,12.5,18.0,15.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
50,3B,upper_180,0,180,6631,600,1950,6.5,11,18.0,15.5,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
51,3B,upper_180,0,180,6631,600,2275,6.5,10,18.0,15.95,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
52,3B,upper_180,0,180,6631,600,2600,6.5,9,18.0,16.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig17+Fig18,"6631 W/m2 upper_180 (phi=0); Nu per-config from Fig17; Ri from Fig18 (upper, resolved)"
53,2C,lower_180,180,180,4421,400,650,6.5,150,18.0,17.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
54,2C,lower_180,180,180,4421,400,800,6.5,100,18.0,16.9,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
55,2C,lower_180,180,180,4421,400,920,6.5,72,18.0,16.85,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
56,2C,lower_180,180,180,4421,400,1050,6.5,53,18.0,16.75,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
57,2C,lower_180,180,180,4421,400,1175,6.5,40,18.0,16.85,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
58,2C,lower_180,180,180,4421,400,1300,6.5,32,18.0,17.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
59,2C,lower_180,180,180,4421,400,1425,6.5,27,18.0,16.65,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
60,2C,lower_180,180,180,4421,400,1550,6.5,22,18.0,16.6,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
61,2C,lower_180,180,180,4421,400,1700,6.5,19,18.0,16.5,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
62,2C,lower_180,180,180,4421,400,1825,6.5,17,18.0,16.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
63,2C,lower_180,180,180,4421,400,1950,6.5,14.5,18.0,16.25,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
64,2C,lower_180,180,180,4421,400,2275,6.5,11,18.0,16.0,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
65,2C,lower_180,180,180,4421,400,2600,6.5,8.5,18.0,15.85,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 lower_180 (phi=180); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
66,6C,slanted_180,135,180,4421,400,650,6.5,150,18.0,16.85,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
67,6C,slanted_180,135,180,4421,400,800,6.5,100,18.0,16.7,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
68,6C,slanted_180,135,180,4421,400,920,6.5,72,18.0,16.65,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
69,6C,slanted_180,135,180,4421,400,1050,6.5,53,18.0,16.6,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
70,6C,slanted_180,135,180,4421,400,1175,6.5,40,18.0,16.6,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
71,6C,slanted_180,135,180,4421,400,1300,6.5,32,18.0,16.55,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
72,6C,slanted_180,135,180,4421,400,1425,6.5,27,18.0,16.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
73,6C,slanted_180,135,180,4421,400,1550,6.5,22,18.0,16.35,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
74,6C,slanted_180,135,180,4421,400,1700,6.5,19,18.0,16.25,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
75,6C,slanted_180,135,180,4421,400,1825,6.5,17,18.0,16.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
76,6C,slanted_180,135,180,4421,400,1950,6.5,14.5,18.0,16.1,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
77,6C,slanted_180,135,180,4421,400,2275,6.5,11,18.0,15.7,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
78,6C,slanted_180,135,180,4421,400,2600,6.5,8.5,18.0,15.6,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 slanted_180 (phi=135); Nu per-config from Fig19; Ri from Fig20 cluster (lower/slanted/side coincident, +-18%)"
79,3C,upper_180,0,180,4421,400,650,6.5,58,18.0,14.4,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
80,3C,upper_180,0,180,4421,400,800,6.5,38,18.0,14.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
81,3C,upper_180,0,180,4421,400,920,6.5,27,18.0,14.5,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
82,3C,upper_180,0,180,4421,400,1050,6.5,20,18.0,14.95,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
83,3C,upper_180,0,180,4421,400,1175,6.5,16,18.0,15.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
84,3C,upper_180,0,180,4421,400,1300,6.5,12.5,18.0,15.4,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
85,3C,upper_180,0,180,4421,400,1425,6.5,10.5,18.0,15.2,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
86,3C,upper_180,0,180,4421,400,1550,6.5,8.8,18.0,15.3,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
87,3C,upper_180,0,180,4421,400,1700,6.5,7,18.0,15.45,3.5,0.3,developing_thermal_entry_LD72,digitized-reid-2018-fig17-20,Fig19+Fig20,"4421 W/m2 upper_180 (phi=0); Nu per-config from Fig19; Ri from Fig20 (upper, resolved)"
